Heartbeat sent
         4202 function calls in 0.026 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      400    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
      400    0.000    0.000    0.000    0.000 {method 'cast' of '_cffi_backend.FFI' objects}
      400    0.000    0.000    0.000    0.000 {method 'from_buffer' of '_cffi_backend.FFI' objects}
      100    0.000    0.000    0.000    0.000 ardupilotmega.py:155(get_header)
      400    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      100    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
      100    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      100    0.000    0.000    0.000    0.000 {method 'pack' of '_struct.Struct' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}

Heartbeat sent
         4202 function calls in 0.026 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.026    0.026 drone_test.py:69(send_spefic)
      100    0.000    0.000    0.025    0.000 drone_test.py:36(send_with_header)
      100    0.000    0.000    0.022    0.000 ardupilotmega.py:20326(send)
      100    0.000    0.000    0.021    0.000 ardupilotmega.py:9514(pack)
      100    0.001    0.000    0.021    0.000 ardupilotmega.py:248(_pack)
      200    0.019    0.000    0.019    0.000 ardupilotmega.py:61(accumulate)
      100    0.000    0.000    0.019    0.000 ardupilotmega.py:56(__init__)
      100    0.001    0.000    0.002    0.000 crypto_funcitons.py:28(encrypt_AESGCMSIV)
      100    0.000    0.000    0.001    0.000 {method 'encrypt' of 'cryptography.hazmat.bindings._rust.openssl.aead.AESGCMSIV' objects}
      400    0.001    0.000    0.001    0.000 utils.py:48(_extract_buffer_length)
      100    0.000    0.000    0.001    0.000 ardupilotmega.py:22716(specific_usage_encode)
      100    0.000    0.000    0.001    0.000 mavutil.py:1294(write)
      100    0.000    0.000    0.001    0.000 ardupilotmega.py:9506(__init__)
      100    0.001    0.000    0.001    0.000 {method 'send' of '_socket.socket' objects}
      200    0.000    0.000    0.001    0.000 ardupilotmega.py:86(pack)
      100    0.000    0.000    0.000    0.000 ardupilotmega.py:131(__init__)
      200    0.000    0.000    0.000    0.000 ardupilotmega.py:77(__init__)
      400    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
      400    0.000    0.000    0.000    0.000 {method 'cast' of '_cffi_backend.FFI' objects}
      400    0.000    0.000    0.000    0.000 {method 'from_buffer' of '_cffi_backend.FFI' objects}
      100    0.000    0.000    0.000    0.000 ardupilotmega.py:155(get_header)
      400    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      100    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
      100    0.000    0.000    0.000    0.000 {method 'pack' of '_struct.Struct' objects}
      100    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}

Heartbeat sent
         4202 function calls in 0.025 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.025    0.025 drone_test.py:69(send_spefic)
      100    0.000    0.000    0.024    0.000 drone_test.py:36(send_with_header)
      100    0.000    0.000    0.021    0.000 ardupilotmega.py:20326(send)
      100    0.000    0.000    0.020    0.000 ardupilotmega.py:9514(pack)
      100    0.001    0.000    0.020    0.000 ardupilotmega.py:248(_pack)
      200    0.019    0.000    0.019    0.000 ardupilotmega.py:61(accumulate)
      100    0.000    0.000    0.019    0.000 ardupilotmega.py:56(__init__)
      100    0.001    0.000    0.002    0.000 crypto_funcitons.py:28(encrypt_AESGCMSIV)
      100    0.000    0.000    0.001    0.000 {method 'encrypt' of 'cryptography.hazmat.bindings._rust.openssl.aead.AESGCMSIV' objects}
      400    0.001    0.000    0.001    0.000 utils.py:48(_extract_buffer_length)
      100    0.000    0.000    0.001    0.000 ardupilotmega.py:22716(specific_usage_encode)
      100    0.000    0.000    0.001    0.000 mavutil.py:1294(write)
      100    0.000    0.000    0.001    0.000 ardupilotmega.py:9506(__init__)
      200    0.000    0.000    0.001    0.000 ardupilotmega.py:86(pack)
      100    0.000    0.000    0.000    0.000 {method 'send' of '_socket.socket' objects}
      100    0.000    0.000    0.000    0.000 ardupilotmega.py:131(__init__)
      200    0.000    0.000    0.000    0.000 ardupilotmega.py:77(__init__)
      400    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
      400    0.000    0.000    0.000    0.000 {method 'cast' of '_cffi_backend.FFI' objects}
      400    0.000    0.000    0.000    0.000 {method 'from_buffer' of '_cffi_backend.FFI' objects}
      100    0.000    0.000    0.000    0.000 ardupilotmega.py:155(get_header)
      400    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      100    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
      100    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      100    0.000    0.000    0.000    0.000 {method 'pack' of '_struct.Struct' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}

Heartbeat sent
         4202 function calls in 0.026 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.026    0.026 drone_test.py:69(send_spefic)
      100    0.000    0.000    0.025    0.000 drone_test.py:36(send_with_header)
      100    0.000    0.000    0.022    0.000 ardupilotmega.py:20326(send)
      100    0.000    0.000    0.021    0.000 ardupilotmega.py:9514(pack)
      100    0.001    0.000    0.021    0.000 ardupilotmega.py:248(_pack)
      200    0.019    0.000    0.019    0.000 ardupilotmega.py:61(accumulate)
      100    0.000    0.000    0.019    0.000 ardupilotmega.py:56(__init__)
      100    0.001    0.000    0.002    0.000 crypto_funcitons.py:28(encrypt_AESGCMSIV)
      100    0.000    0.000    0.001    0.000 {method 'encrypt' of 'cryptography.hazmat.bindings._rust.openssl.aead.AESGCMSIV' objects}
      400    0.001    0.000    0.001    0.000 utils.py:48(_extract_buffer_length)
      100    0.000    0.000    0.001    0.000 ardupilotmega.py:22716(specific_usage_encode)
      100    0.000    0.000    0.001    0.000 mavutil.py:1294(write)
      100    0.000    0.000    0.001    0.000 ardupilotmega.py:9506(__init__)
      200    0.001    0.000    0.001    0.000 ardupilotmega.py:86(pack)
      100    0.001    0.000    0.001    0.000 {method 'send' of '_socket.socket' objects}
      100    0.000    0.000    0.000    0.000 ardupilotmega.py:131(__init__)
      200    0.000    0.000    0.000    0.000 ardupilotmega.py:77(__init__)
      400    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
      400    0.000    0.000    0.000    0.000 {method 'cast' of '_cffi_backend.FFI' objects}
      400    0.000    0.000    0.000    0.000 {method 'from_buffer' of '_cffi_backend.FFI' objects}
      100    0.000    0.000    0.000    0.000 ardupilotmega.py:155(get_header)
      400    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      100    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      100    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
      100    0.000    0.000    0.000    0.000 {method 'pack' of '_struct.Struct' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}

Heartbeat sent
         4202 function calls in 0.026 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.026    0.026 drone_test.py:69(send_spefic)
      100    0.000    0.000    0.025    0.000 drone_test.py:36(send_with_header)
      100    0.000    0.000    0.022    0.000 ardupilotmega.py:20326(send)
      100    0.000    0.000    0.021    0.000 ardupilotmega.py:9514(pack)
      100    0.001    0.000    0.021    0.000 ardupilotmega.py:248(_pack)
      200    0.019    0.000    0.019    0.000 ardupilotmega.py:61(accumulate)
      100    0.000    0.000    0.019    0.000 ardupilotmega.py:56(__init__)
      100    0.001    0.000    0.002    0.000 crypto_funcitons.py:28(encrypt_AESGCMSIV)
      100    0.000    0.000    0.001    0.000 {method 'encrypt' of 'cryptography.hazmat.bindings._rust.openssl.aead.AESGCMSIV' objects}
      400    0.001    0.000    0.001    0.000 utils.py:48(_extract_buffer_length)
      100    0.000    0.000    0.001    0.000 ardupilotmega.py:22716(specific_usage_encode)
      100    0.000    0.000    0.001    0.000 mavutil.py:1294(write)
      100    0.000    0.000    0.001    0.000 ardupilotmega.py:9506(__init__)
      200    0.000    0.000    0.001    0.000 ardupilotmega.py:86(pack)
      100    0.001    0.000    0.001    0.000 {method 'send' of '_socket.socket' objects}
      100    0.000    0.000    0.000    0.000 ardupilotmega.py:131(__init__)
      200    0.000    0.000    0.000    0.000 ardupilotmega.py:77(__init__)
      400    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
      400    0.000    0.000    0.000    0.000 {method 'cast' of '_cffi_backend.FFI' objects}
      400    0.000    0.000    0.000    0.000 {method 'from_buffer' of '_cffi_backend.FFI' objects}
      100    0.000    0.000    0.000    0.000 ardupilotmega.py:155(get_header)
      400    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      100    0.000    0.000    0.000    0.000 {method 'pack' of '_struct.Struct' objects}
      100    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
      100    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}

Heartbeat sent
         4202 function calls in 0.025 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.025    0.025 drone_test.py:69(send_spefic)
      100    0.000    0.000    0.025    0.000 drone_test.py:36(send_with_header)
      100    0.000    0.000    0.022    0.000 ardupilotmega.py:20326(send)
      100    0.000    0.000    0.021    0.000 ardupilotmega.py:9514(pack)
      100    0.001    0.000    0.021    0.000 ardupilotmega.py:248(_pack)
      200    0.019    0.000    0.019    0.000 ardupilotmega.py:61(accumulate)
      100    0.000    0.000    0.019    0.000 ardupilotmega.py:56(__init__)
      100    0.001    0.000    0.002    0.000 crypto_funcitons.py:28(encrypt_AESGCMSIV)
      100    0.000    0.000    0.001    0.000 {method 'encrypt' of 'cryptography.hazmat.bindings._rust.openssl.aead.AESGCMSIV' objects}
      400    0.001    0.000    0.001    0.000 utils.py:48(_extract_buffer_length)
      100    0.000    0.000    0.001    0.000 ardupilotmega.py:22716(specific_usage_encode)
      100    0.000    0.000    0.001    0.000 mavutil.py:1294(write)
      100    0.000    0.000    0.001    0.000 ardupilotmega.py:9506(__init__)
      200    0.001    0.000    0.001    0.000 ardupilotmega.py:86(pack)
      100    0.001    0.000    0.001    0.000 {method 'send' of '_socket.socket' objects}
      100    0.000    0.000    0.000    0.000 ardupilotmega.py:131(__init__)
      200    0.000    0.000    0.000    0.000 ardupilotmega.py:77(__init__)
      400    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
      400    0.000    0.000    0.000    0.000 {method 'cast' of '_cffi_backend.FFI' objects}
      400    0.000    0.000    0.000    0.000 {method 'from_buffer' of '_cffi_backend.FFI' objects}
      100    0.000    0.000    0.000    0.000 ardupilotmega.py:155(get_header)
      400    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      100    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
      100    0.000    0.000    0.000    0.000 {method 'pack' of '_struct.Struct' objects}
      100    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}

Heartbeat sent
         4202 function calls in 0.026 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.026    0.026 drone_test.py:69(send_spefic)
      100    0.000    0.000    0.025    0.000 drone_test.py:36(send_with_header)
      100    0.000    0.000    0.022    0.000 ardupilotmega.py:20326(send)
      100    0.000    0.000    0.021    0.000 ardupilotmega.py:9514(pack)
      100    0.001    0.000    0.021    0.000 ardupilotmega.py:248(_pack)
      200    0.019    0.000    0.019    0.000 ardupilotmega.py:61(accumulate)
      100    0.000    0.000    0.019    0.000 ardupilotmega.py:56(__init__)
      100    0.001    0.000    0.002    0.000 crypto_funcitons.py:28(encrypt_AESGCMSIV)
      100    0.000    0.000    0.001    0.000 {method 'encrypt' of 'cryptography.hazmat.bindings._rust.openssl.aead.AESGCMSIV' objects}
      400    0.001    0.000    0.001    0.000 utils.py:48(_extract_buffer_length)
      100    0.000    0.000    0.001    0.000 mavutil.py:1294(write)
      100    0.000    0.000    0.001    0.000 ardupilotmega.py:22716(specific_usage_encode)
      100    0.000    0.000    0.001    0.000 ardupilotmega.py:9506(__init__)
      200    0.000    0.000    0.001    0.000 ardupilotmega.py:86(pack)
      100    0.001    0.000    0.001    0.000 {method 'send' of '_socket.socket' objects}
      100    0.000    0.000    0.000    0.000 ardupilotmega.py:131(__init__)
      200    0.000    0.000    0.000    0.000 ardupilotmega.py:77(__init__)
      400    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
      400    0.000    0.000    0.000    0.000 {method 'cast' of '_cffi_backend.FFI' objects}
      400    0.000    0.000    0.000    0.000 {method 'from_buffer' of '_cffi_backend.FFI' objects}
      100    0.000    0.000    0.000    0.000 ardupilotmega.py:155(get_header)
      400    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      100    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
      100    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      100    0.000    0.000    0.000    0.000 {method 'pack' of '_struct.Struct' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
